{'game_name': 'olympics-running', 'algo': 'ppo', 'max_episodes': 1500, 'episode_length': 500, 'map': 6, 'shuffle_map': False, 'seed': 1, 'device': 'cpu', 'save_interval': 10, 'render': False, 'load_model': False, 'load_run': 2, 'load_episode': 900, 'run_dir': 'map6_use_dist'}
Total agent number: 2
Agent control by the actor: 1
Game board width: 700
Game board height: 700
action dimension: [[Box(-100.0, 200.0, (1,), float32), Box(-30.0, 30.0, (1,), float32)], [Box(-100.0, 200.0, (1,), float32), Box(-30.0, 30.0, (1,), float32)]]
observation dimension: 625
store in /mnt/lustre/sjtu/home/ywg12/remote/code/OlympicsProject/rl_trainer/models/olympics-running/ppo/map6_use_dist
Episode:  157 controlled agent:  1 ; Episode Return:  -1409.6244584051415 ; win rate(controlled & opponent):  0.44 0.56 ; Trained episode: 66
Episode:  158 controlled agent:  1 ; Episode Return:  -1210.7493500861697 ; win rate(controlled & opponent):  0.44 0.56 ; Trained episode: 66
Episode:  159 controlled agent:  1 ; Episode Return:  -942.0020920410541 ; win rate(controlled & opponent):  0.45 0.55 ; Trained episode: 66
Episode:  160 controlled agent:  1 ; Episode Return:  -1199.6072144624386 ; win rate(controlled & opponent):  0.45 0.55 ; Trained episode: 67
Episode:  161 controlled agent:  1 ; Episode Return:  -1069.7645019878173 ; win rate(controlled & opponent):  0.46 0.54 ; Trained episode: 68
Episode:  162 controlled agent:  1 ; Episode Return:  -1400.6610383316015 ; win rate(controlled & opponent):  0.46 0.54 ; Trained episode: 69
Episode:  163 controlled agent:  1 ; Episode Return:  -1367.3401871576793 ; win rate(controlled & opponent):  0.46 0.54 ; Trained episode: 69
Episode:  164 controlled agent:  1 ; Episode Return:  -1050.6883835420695 ; win rate(controlled & opponent):  0.47 0.53 ; Trained episode: 69
Episode:  165 controlled agent:  1 ; Episode Return:  -1370.6244584051415 ; win rate(controlled & opponent):  0.47 0.53 ; Trained episode: 70
Episode:  166 controlled agent:  1 ; Episode Return:  -909.4041122946071 ; win rate(controlled & opponent):  0.48 0.52 ; Trained episode: 70
Episode:  167 controlled agent:  1 ; Episode Return:  -355.0710678118655 ; win rate(controlled & opponent):  0.49 0.51 ; Trained episode: 71
Episode:  168 controlled agent:  1 ; Episode Return:  -1330.0924958366772 ; win rate(controlled & opponent):  0.50 0.50 ; Trained episode: 72
Episode:  169 controlled agent:  1 ; Episode Return:  -977.7472580451149 ; win rate(controlled & opponent):  0.49 0.51 ; Trained episode: 73
Episode:  170 controlled agent:  1 ; Episode Return:  -1158.9554108468287 ; win rate(controlled & opponent):  0.49 0.51 ; Trained episode: 73
Episode:  171 controlled agent:  1 ; Episode Return:  -1340.1046891454976 ; win rate(controlled & opponent):  0.49 0.51 ; Trained episode: 74
Episode:  172 controlled agent:  1 ; Episode Return:  -1338.979797464469 ; win rate(controlled & opponent):  0.48 0.52 ; Trained episode: 75
Episode:  173 controlled agent:  1 ; Episode Return:  -1421.5899705197362 ; win rate(controlled & opponent):  0.47 0.53 ; Trained episode: 75
