{'game_name': 'olympics-running', 'algo': 'ppo', 'max_episodes': 1500, 'episode_length': 500, 'map': 3, 'shuffle_map': False, 'seed': 1, 'device': 'cpu', 'save_interval': 100, 'render': False, 'load_model': False, 'load_run': 2, 'load_episode': 900, 'run_dir': 'map3_use_step_dist_train_by_win', 'actor_hidden_layers': 1, 'critic_hidden_layers': 1, 'num_frame': 1, 'use_cnn': False, 'train_by_win': True}
{'class_literal': 'OlympicsRunning', 'n_player': 2, 'max_step': 500, 'game_name': 'running', 'is_obs_continuous': True, 'is_act_continuous': True, 'agent_nums': [1, 1], 'obs_type': ['vector', 'vector'], 'map_num': 11, 'use_map_dist': True, 'use_hit_wall': False}
Total agent number: 2
Agent control by the actor: 1
Game board width: 700
Game board height: 700
action dimension: [[Box(-100.0, 200.0, (1,), float32), Box(-30.0, 30.0, (1,), float32)], [Box(-100.0, 200.0, (1,), float32), Box(-30.0, 30.0, (1,), float32)]]
observation dimension: 625
store in /mnt/lustre/sjtu/home/ywg12/remote/code/OlympicsProject/rl_trainer/models/olympics-running/ppo/map3_use_step_dist_train_by_win
Use CNN: False
Episode:  136 controlled agent:  1 ; Episode Return:  -219.55634918610406 ; win rate(controlled & opponent):  0.46 0.54 ; Trained episode: 59
Episode:  137 controlled agent:  1 ; Episode Return:  -707.4680374315353 ; win rate(controlled & opponent):  0.46 0.54 ; Trained episode: 60
Episode:  138 controlled agent:  1 ; Episode Return:  -56.870057685088824 ; win rate(controlled & opponent):  0.47 0.53 ; Trained episode: 60
Episode:  139 controlled agent:  1 ; Episode Return:  -889.6467529817263 ; win rate(controlled & opponent):  0.47 0.53 ; Trained episode: 61
Episode:  140 controlled agent:  1 ; Episode Return:  -42.8700576850888 ; win rate(controlled & opponent):  0.48 0.52 ; Trained episode: 61
Episode:  141 controlled agent:  1 ; Episode Return:  -8.284271247461902 ; win rate(controlled & opponent):  0.48 0.52 ; Trained episode: 62
Episode:  142 controlled agent:  1 ; Episode Return:  -554.6101730552663 ; win rate(controlled & opponent):  0.48 0.52 ; Trained episode: 63
Episode:  143 controlled agent:  1 ; Episode Return:  -935.5533905932756 ; win rate(controlled & opponent):  0.48 0.52 ; Trained episode: 63
Episode:  144 controlled agent:  1 ; Episode Return:  -51.94112549695423 ; win rate(controlled & opponent):  0.48 0.52 ; Trained episode: 63
Episode:  145 controlled agent:  1 ; Episode Return:  -874.8822509939084 ; win rate(controlled & opponent):  0.49 0.51 ; Trained episode: 64
